COMMODITY,COUNTRY,UNIT,QUANTITY,VALUE (US$ million)
TEA,AFGHANISTAN,KGS,497340,1.625
TEA,ALBANIA,KGS,342022,1.177
TEA,ALGERIA,KGS,54000,0.1
TEA,ANDORRA,KGS,200,0.001
TEA,ANGOLA,KGS,188024,0.688
TEA,ARMENIA,KGS,630,0.002
TEA,AUSTRALIA,KGS,3190820,16.74
TEA,AUSTRIA,KGS,7198,0.105
TEA,AZERBAIJAN,KGS,292562,0.803
TEA,BAHARAIN IS,KGS,528738,2.25
TEA,BANGLADESH PR,KGS,3902143,7.433
TEA,BELARUS,KGS,16150,0.055
TEA,BELGIUM,KGS,1061186,3.798
TEA,BENIN,KGS,49172,0.274
TEA,BHUTAN,KGS,333539,1.214
TEA,BOTSWANA,KGS,580,0.004
TEA,BRAZIL,KGS,11048,0.093
TEA,BRUNEI,KGS,3672,0.015
TEA,BULGARIA,KGS,1190,0.01
TEA,BURKINA FASO,KGS,842170,3.379
TEA,CAMBODIA,KGS,1417,0.009
TEA,CAMEROON,KGS,50435,0.219
TEA,CANADA,KGS,2355927,11.402
TEA,CAYMAN IS,KGS,293,0.001
TEA,CHILE,KGS,17567,0.048
TEA,CHINA P RP,KGS,11033562,26.521
TEA,COLOMBIA,KGS,104875,0.171
TEA,CONGO D. REP.,KGS,124339,0.19
TEA,CONGO P REP,KGS,63052,0.21
TEA,COTE D' IVOIRE,KGS,472675,1.815
TEA,CROATIA,KGS,27267,0.057
TEA,CYPRUS,KGS,2315,0.009
TEA,CZECH REPUBLIC,KGS,33776,0.358
TEA,DENMARK,KGS,32199,0.342
TEA,DJIBOUTI,KGS,20,0
TEA,EGYPT A RP,KGS,8815387,16.803
TEA,ESTONIA,KGS,24583,0.156
TEA,FIJI IS,KGS,7071,0.057
TEA,FINLAND,KGS,776449,2.343
TEA,FRANCE,KGS,339874,2.902
TEA,GABON,KGS,700,0.005
TEA,GAMBIA,KGS,172693,0.688
TEA,GEORGIA,KGS,174152,0.446
TEA,GERMANY,KGS,10357797,43.817
TEA,GHANA,KGS,466392,2.674
TEA,GREECE,KGS,18405,0.073
TEA,GUINEA,KGS,206801,0.909
TEA,GUYANA,KGS,466,0.003
TEA,HONG KONG,KGS,233268,1.118
TEA,HUNGARY,KGS,1097,0.01
TEA,INDONESIA,KGS,918649,1.598
TEA,IRAN,KGS,41486408,153.736
TEA,IRAQ,KGS,4085266,7.782
TEA,IRELAND,KGS,1445763,12.361
TEA,ISRAEL,KGS,89775,0.436
TEA,ITALY,KGS,1473434,11.426
TEA,JAMAICA,KGS,2167,0.038
TEA,JAPAN,KGS,3835259,22.748
TEA,JORDAN,KGS,134127,0.518
TEA,KAZAKHSTAN,KGS,10903107,28.789
TEA,KENYA,KGS,480229,0.798
TEA,KOREA RP,KGS,127998,1.752
TEA,KUWAIT,KGS,978358,4.154
TEA,KYRGHYZSTAN,KGS,295840,1.184
TEA,LATVIA,KGS,43402,0.116
TEA,LEBANON,KGS,187416,0.315
TEA,LIBERIA,KGS,1383,0.005
